"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/25/2021 14:34:20.662","85622453.571713969111","57424.129630486386304","8727","14.716208089197390763","15.498628198470809636","13.151367870650554792","1.4150662315492779086","4.5447466686429516258","0.63264612227585947934","2.1974863408226963379","2.9799064500961147672","88.263698360898729334","1.4150662315492779086","10.021687433556881075","6.8920069964632073578","13.933787979923973666","1.4150662315492779086","68.703195629063259275","5.327166777916369611","15.694230722044821391","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:22.669","20291397.149819470942","115078.90942958113737","8603","19.018514361007486713","21.354518754439965278","9.6744967872775866624","15.125173705286698578","7.3384923938451080971","40.042553901899779589","31.477204459314034324","43.935894557620571277","24.469191279016598628","7.3384923938451080971","12.010501180710065228","16.682509967575008147","24.469191279016598628","14.346505574142531358","20.575850623295810493","8.1171605249892646583","19.748518848627661271","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:24.665","20774058.312298696488","250292.94891556934454","8606","10.787851080795485714","16.265790049518567884","13.135539210248225572","9.2227256611603145586","5.3099121120724017686","13.918101920065817367","6.8750375317075622661","16.265790049518567884","18.613478178971309518","3.7447866924372297248","8.4401629513427334217","8.4401629513427334217","17.048352759336150797","6.8750375317075622661","13.918101920065817367","6.0924748218899811292","10.934582214936449773","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:26.662","21464106.620242390782","664663.15062205237336","8607","15.48343475321163254","18.613677910500094015","7.6578268599904797398","12.353191595923174617","7.6578268599904797398","3.745022913379913998","1.3973405454135723325","1.3973405454135723325","17.048556331855856172","2.9624621240577964087","13.135752385245281104","9.2229484386347149183","20.178799489144317647","6.8752660706683732528","17.048556331855856172","9.2229484386347149183","10.250058848571352854","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:28.672","20365653.832456555218","326013.46805333154043","8610","9.0575428898929786214","19.939546304777579167","7.5029709734808935906","3.6165411824506832339","4.3938271406567253052","0","0.50739734962650384631","0","18.384974388365492359","3.6165411824506832339","5.1711130988627669325","5.9483990570688094479","19.162260346571535763","7.5029709734808935906","8.2802569316869352178","8.2802569316869352178","7.5515482367249369133","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:30.660","20016420.202644616365","234390.34363298592507","8605","11.962464819572105057","17.464810768348847603","8.032217713303001716","8.8182671345568230947","5.6740694495415411325","0.9577729220186181891","0.9577729220186181891","4.1019706070339001514","16.678761347095026224","4.8880200282877206419","7.2461682920491821136","4.1019706070339001514","15.106662504587387019","9.6043165558106444735","8.8182671345568230947","9.6043165558106444735","8.3761174792992285631","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:32.661","18544298.131728425622","96734.167225013050484","8596","10.188187080674115492","22.6837436607542422","4.7213810768890525082","10.969159366929115862","1.5974919318690328218","0.81651964561402223808","0.81651964561402223808","2.3784642181240323033","15.654993084459167818","7.0642979356540847036","2.3784642181240323033","9.4072147944191044644","16.435965370714178846","4.7213810768890525082","6.2833256493990745639","23.464715947009239017","8.7238627943903139794","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:34.665","20178522.627484314144","328027.13241362106055","8589","5.6651410261546963909","21.257679699517563421","0.2077524904776972825","11.122529561831695943","1.767006357813982742","0.2077524904776972825","1.767006357813982742","1.767006357813982742","17.359545031176850216","2.5466332914821254718","4.8855140924865541052","9.5632756944954095957","25.935441301526417135","8.0040218271591250243","2.5466332914821254718","11.902156495499838229","7.9065697078537056086","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:36.657","19617107.422692742199","110023.61328378882899","8583","6.642054729860580764","22.332465699631910638","3.5039725359063078614","14.487260214746244813","3.5039725359063078614","1.9349314389291771832","2.7194519874177425223","3.5039725359063078614","16.840821860211939054","5.8575341813720154249","5.0730136328834500858","10.564657472303407459","16.056301311723373715","11.349178020791983457","5.0730136328834500858","14.487260214746244813","8.9956163753262767813","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:38.671","17917805.638080362231","198228.30474444973515","8572","8.4751218130975409792","18.558371104874925805","1.4944107649439541952","10.80202549581539273","4.5969490085677744418","2.2700453258499120324","2.2700453258499120324","0.71877620403800746018","17.782736543968969301","4.5969490085677744418","2.2700453258499120324","13.904563739439213421","22.436543909404694119","6.1482181303796785699","3.8213144476618166046","14.680198300345159268","8.4266427915179686892","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
