"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/26/2021 22:43:31.690"," "," ","10171"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","62","78","65","51","65","62","62","64","57","70","67","66","66","94","60","63"
"10/26/2021 22:43:33.698","20397.84258951009906","103264.07810939487536","10168","5.0600160151613060577","1.1690330649630098492","1.9472296550026690909","0.39083647492333950524","1.1690330649630098492","1.1690330649630098492","3.5036228350819875743","1.9472296550026690909","6.6164091952406351993","1.1690330649630098492","1.1690330649630098492","4.281819425121646816","1.9472296550026690909","1.1690330649630098492","1.1690330649630098492","1.1690330649630098492","2.1904154668327846522","100","40","65","53","100","100","100","100","75","89","35","59","100","97","49","45"
"10/26/2021 22:43:35.711","0","2034.6067938580704322","10168","0.65602785446028377692","2.2082774192343390673","2.9844022016213722637","0","1.4321526368473169732","0","0","2.2082774192343390673","2.2082774192343390673","0.65602785446028377692","0","2.9844022016213722637","0","0.65602785446028377692","0","1.4321526368473169732","1.0440902456538059262","51","92","68","56","100","100","100","100","73","65","65","44","45","99","51","92"
"10/26/2021 22:43:37.696","0","4125.9230506285312003","10150","9.504264423465302869","3.2089089050976626893","2.4219894653017104424","0.84815058570980594865","0.84815058570980594865","0.061231145913853701757","1.6350700255057581955","3.2089089050976626893","3.9958283448936260385","1.6350700255057581955","3.2089089050976626893","4.7827477846895778413","1.6350700255057581955","0.061231145913853701757","1.6350700255057581955","2.4219894653017104424","2.5695374897990008733","60","91","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 22:43:39.710","0","0","10150","4.5633267236738443984","2.235602985226858852","3.7874188108581785528","0.68378715959553915127","0.68378715959553915127","0.68378715959553915127","0.68378715959553915127","2.235602985226858852","4.5633267236738443984","0.68378715959553915127","3.0115108980425242535","3.0115108980425242535","1.4596950724112045528","0.68378715959553915127","2.235602985226858852","3.7874188108581785528","2.187111844307532138","100","65","100","100","100","100","100","100","100","96","100","99","43","100","100","94"
"10/26/2021 22:43:41.710","65534.948164081972209","225276.38431403177674","10151","4.6940951686143321808","3.9128992273734675145","3.1317032861326032922","2.3505073448917279677","4.6940951686143321808","2.3505073448917279677","23.442797758395116148","3.1317032861326032922","7.0376829923369355058","0.78811546240999952317","1.5693114036508637454","6.2564870510960606254","0.0069195211691353009087","3.9128992273734675145","4.6940951686143321808","4.6940951686143321808","4.7917434113559309594","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/26/2021 22:43:43.710","0","106515.90249638144451","10154","3.1094006134987695056","0","6.2349038195149368846","0","8.5790312240270676369","3.1094006134987695056","91.404866183455538931","1.5466490104906860381","3.1094006134987695056","0","3.8907764150028167904","0","0","0","0","0.76527320898664985549","7.6023089717444536362","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 22:43:45.710","0","773654.01045659743249","10499","4.6862370926414769201","2.3424560375424952063","7.0300181477404581898","2.3424560375424952063","14.061361313037401999","13.280100961337737431","46.093035732723464548","37.499171864027204037","3.904976740941812352","5.4674974443411406","7.0300181477404581898","3.904976740941812352","7.0300181477404581898","3.1237163892421593303","3.904976740941812352","6.2487577960407936217","10.496864083449109373","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 22:43:47.710","145411.81706019781996","908823.85662623646203","10468","6.2433714063584329068","3.1181504532370452054","11.712508074320860274","4.680760929797733283","20.306865695404663796","16.400339504002936053","19.525560457124313984","73.435621898468212976","10.931202836040510462","3.1181504532370452054","14.837729027442236429","5.4620661680780830949","8.5872871211994716845","3.1181504532370452054","10.931202836040510462","6.2433714063584329068","13.665771170021724146","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 22:43:49.710","0","330014.80688222247409","10473","3.1144976115410893946","0.77049352149772820653","3.1144976115410893946","0","27.335873208655815603","17.178522151801256967","14.834518061757895779","46.869240625683829649","3.1144976115410893946","0.77049352149772820653","3.1144976115410893946","0.77049352149772820653","2.3331629148599652979","1.5518282181788523033","3.8958323082222134914","1.5518282181788523033","8.1443378462225268777","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
