"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/26/2021 23:38:59.367","0","158069.39172042667633","10362","0.73007076754715294342","0","0","0","3.0567097339327609085","0","18.567636176503519607","81.386888268915086542","1.5056170896756926325","0","0","0","0","0","0","0","6.5466681835111835142","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:39:01.367","0","157656.98777837422676","10334","0.025058719032078347055","0.025058719032078347055","0.025058719032078347055","0.025058719032078347055","3.9303298628198812814","0.025058719032078347055","0.80611294778963893393","99.21894577124244563","0.025058719032078347055","0.025058719032078347055","0.025058719032078347055","0.025058719032078347055","0.025058719032078347055","0.025058719032078347055","0.025058719032078347055","0.025058719032078347055","6.5175713707359195226","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:39:03.367","14336.465935142892704","27669379.254825782031","10434","0","0.76352636580893085139","0","0","60.149132635088633947","0.76352636580893085139","39.05161461837084147","0","0.76352636580893085139","0.76352636580893085139","0.76352636580893085139","0","0","0","0","0","6.428603148522327615","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:39:05.367","0","22527.406402841286763","10428","0.016637231564664567429","0.016637231564664567429","0.016637231564664567429","0.016637231564664567429","25.793597945301904417","11.733437555990677836","64.849599026721961081","2.3599972964498672212","1.5788772748214663366","0.016637231564664567429","0.016637231564664567429","3.1411173180782681058","0.016637231564664567429","0.016637231564664567429","0.016637231564664567429","0.016637231564664567429","6.8514349212291048019","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:39:07.367","0","0","10428","1.562165311362062603","0","0","0","6.2496812489162500981","94.531231406186776667","3.1246706238801214006","0","2.3434179676210864507","0","0","0","0","0","0","0","6.7379629090738912822","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:39:09.367","0","83984.822159878633101","10394","1.5428528762914672789","0","0","0","5.4498825240576813655","28.110654481101704505","23.422218903782255239","46.864396790379522884","0","0","0","1.5428528762914672789","0.76144694673822010955","0","0","0","6.719670910330155067","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:39:11.367","0","45044.860406021587551","10377","0.024673910478889560238","0.024673910478889560238","0.024673910478889560238","0.024673910478889560238","12.521589671669030253","0.024673910478889560238","69.538767832099040334","22.675333727636015624","0.024673910478889560238","0.80573114555327896014","0.024673910478889560238","1.5867883806276572578","0.024673910478889560238","0.024673910478889560238","0.024673910478889560238","0.024673910478889560238","6.7124733615743670256","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:39:13.367","0","0","10349","0.76406233559652703136","0","0","0","4.6709890152974438138","0","32.800861109144108241","67.18181589051224023","1.5454476715367149176","0.76406233559652703136","0","1.5454476715367149176","0","0","0.76406233559652703136","1.5454476715367149176","6.966311565163085362","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:39:15.367","0","91151.668971896273433","10322","0.76397300770063569786","0.76397300770063569786","0.76397300770063569786","0.76397300770063569786","3.8895171649384163715","0.76397300770063569786","0.76397300770063569786","100","0","0.76397300770063569786","0.76397300770063569786","1.5453590470100864174","0.76397300770063569786","0.76397300770063569786","0.76397300770063569786","0.76397300770063569786","7.1615718296555446187","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:39:17.367","8192.3252353118423343","27602759.829565234482","10432","0.77494920927478894157","0.77494920927478894157","0","0","10.150544559579532944","30.464334485239806583","9.3692449470541347978","46.871626348273110807","1.5562488218001879758","0","0","3.9001476593763739764","0","0.77494920927478894157","0","0.77494920927478894157","6.5858632023133463207","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
