"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/31/2021 18:42:15.580"," "," ","51.261282002381349798"," "," "," "," "," "," "," "," "," ","74","81","74","77","75","74","74","75"
"10/31/2021 18:42:17.572","8224.4264461492330156","257013.32644216349581","51.31269061269999554","20.001421527681461754","9.0212244824612763949","29.413018995013061385","7.4526249045726800091","25.491520050291562427","4.3154257487954765793","12.158423638238469167","20.785721316625760835","16.079922582959969901","39","39","39","39","39","39","39","39"
"10/31/2021 18:42:19.586","70685.728942855130299","248162.8469360669551","51.493159786680053003","40.255666270547763474","14.650951815068236073","22.409956195516578248","10.771449624844064985","37.15206451836843371","20.858155319426920471","20.858155319426920471","11.547350062888906308","22.312969882201684868","39","39","39","39","40","39","39","39"
"10/31/2021 18:42:21.586","3268825.8672440517694","198669.24130493297707","55.272909150289585511","21.085957238277273973","7.022068429257388722","17.960648614050633398","7.8033955853140550829","40.619136139693793552","5.4594141171440675464","15.616667145880658296","28.899228798843889621","18.058313258434267823","39","39","39","39","39","39","39","39"
"10/31/2021 18:42:23.583","5724708.4849147684872","2506482.8980888021179","55.270722218619361854","26.454052823591023724","7.6763641828057611605","23.324438050126815369","6.1115567960736472131","17.065208503198391554","15.500401116466289153","24.106841743492868346","35.842897143983663","19.510218793121392622","39","39","39","39","39","39","39","39"
"10/31/2021 18:42:25.574","14445329.396324405447","113159.5380711924663","55.388786447092144272","16.805871895559310047","6.6028184487882839449","15.236171365286843127","5.8179681836520451554","12.096770304741911062","37.211978789101365805","44.275631175327454514","6.6028184487882839449","18.081252320645269549","70","55","76","71","69","63","76","90"
"10/31/2021 18:42:27.580","361291.56231869815383","2228985.2319323071279","55.371876120421070766","7.3405149303427457141","8.1191660653818775728","13.569724010655836111","4.2259103901861934105","6.561863795303601421","21.356235361047204435","67.296652328356259432","7.3405149303427457141","16.976323972293872799","90","90","90","90","90","90","90","90"
"10/31/2021 18:42:29.567","773.25562517037678845","2072325.0754566097166","55.193008658288277957","10.329462016038348793","4.0367926838305141501","7.969711016460411912","1.6770416842525781576","10.329462016038348793","63.817151339804944143","29.994053679187835826","2.4636253507785643713","16.327161214765073538","90","90","90","90","90","90","90","90"
"10/31/2021 18:42:31.582","0","2243769.0531251169741","55.191745784876808045","5.4102367336771539641","0","9.2868663757395673031","0.75828116320225680269","9.2868663757395673031","41.850555369063826561","52.705118366838576094","1.5336070916147415133","15.004896338303108649","74","74","74","74","74","74","74","74"
"10/31/2021 18:42:33.571","0","2203619.9497715514153","55.19892264977072216","13.5813294844363881","6.5107109877084567984","8.0819595425368877528","1.7969653232231763695","24.580069368235403005","28.508190755306472397","39.506930639105476644","10.438832374779538625","16.625624816415317753","90","90","90","90","90","90","90","90"
"10/31/2021 18:42:35.574","0","1965556.3643307280727","55.669793476273724764","21.976960508008136941","0.13050945025041560399","14.954886953728863119","1.6909702400902504316","9.4932741892894352276","44.60364196068577769","32.900186036886992724","9.4932741892894352276","16.905462941028659429","90","79","90","90","90","81","90","90"
"10/31/2021 18:42:37.588","0","1826250.937216417864","55.676508312038265558","21.646452009845152276","0.70045403227900759902","17.767563495481052627","0.70045403227900759902","6.9066756552615622411","32.507339850064632003","43.368227690284122389","7.6824533581343885658","16.409950032964971456","87","90","90","90","90","90","90","90"
"10/31/2021 18:42:39.587","73746.292767921084305","2390608.9905601087958","55.628549530084370645","4.6633369227430669923","2.3189927487121564376","14.040713618866707435","2.3189927487121564376","2.3189927487121564376","23.41809031499033722","64.834837389536374985","0","14.236078134003060214","90","90","90","90","90","90","90","90"
