"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time"
"10/28/2021 14:27:15.583"," "," ","57.063466160805774052"," "," "," "," "," "," "," "," "," "
"10/28/2021 14:27:17.593","187414.83929920560331","42779.474187862149847","55.957399577823792924","10.645297223764615069","5.9833127310914608898","11.422294639210139877","4.4293179002004130496","6.7603101465369856982","4.4293179002004130496","7.5373075619825087301","4.4293179002004130496","6.9545619867900976274"
"10/28/2021 14:27:19.595","0","110480.08367523699417","56.016626198779938761","1.6604953164171876168","0.88002305702367111806","6.3433288727782759509","0.88002305702367111806","2.4409675758107041155","0","0.099550797630165721586","0.88002305702367111806","1.5629375327486205727"
"10/28/2021 14:27:21.582","407763.17895231890725","1051626.9090552851558","56.107603818203230617","14.267779509690981854","2.4697675156117537831","15.05431364262959093","33.931132833156354422","17.413916041445443028","3.2563016485503748498","11.908177110875140414","9.5485747120592883164","13.481245376752371001"
"10/28/2021 14:27:23.590","1370133.6945990535896","246705.62060488911811","56.818008901741819727","54.878148845497996433","0","8.2003717891166232334","50.988334090799547482","17.535927200392897873","1.1987052306594137008","3.5325940834784907985","5.088519985357864428","17.633171324519636869"
"10/28/2021 14:27:25.596","46970.582409195798391","2042.1992351824258094","57.140643093069229508","98.441892227904148172","99.220946113952081191","99.220946113952081191","98.441892227904148172","100","100","99.220946113952081191","99.220946113952081191","99.220946113952081191"
"10/28/2021 14:27:27.851","36789.937767503157374","29068.592803953109978","57.228131256352213541","100","100","100","100","100","100","100","100","100"
"10/28/2021 14:27:29.689","0","13368.2334741088398","57.358216042015286007","100","100","100","100","100","100","100","100","100"
"10/28/2021 14:27:31.718","0","28262.391743344127462","57.50260452216085838","100","100","100","100","100","100","100","100","100"
"10/28/2021 14:27:33.601","110969.68859896092908","1168445.5446596473921","57.530645992963258095","28.646554030793993206","31.135627727394211917","23.668406637593577102","91.703087677999306493","23.668406637593577102","43.580996210395248625","33.624701423994416416","49.38883483579574829","40.67707689769500945"
"10/28/2021 14:27:35.791","41841.460729368503962","1204286.065238583833","57.370004793016704525","40.071128379149357102","46.492078909954784649","31.509861004742123924","84.304343146920075469","52.913029440760205091","32.93673890047665509","42.924884170618440749","41.49800627488389182","46.581257636935866628"
"10/28/2021 14:27:37.664","13121.223964172906562","1176536.4154541706666","57.388112288291594609","100","100","100","100","100","100","100","100","100"
"10/28/2021 14:27:39.672","32632.465947556716856","61185.873651668844104","57.603201749176534463","100","100","100","100","100","100","100","100","100"
"10/28/2021 14:27:41.584","0","1647697.987598470645","56.996726188109427369","53.42962661659002066","44.442361577686341434","41.991289294348966621","86.927614488867376963","43.625337483240542724","41.174265199903182122","43.625337483240542724","41.991289294348966621","49.65089148701679278"
"10/28/2021 14:27:43.592","485636.25154898525216","4219730.1185012664646","56.15067201576909639","7.3708377716453661321","4.2572524866586576309","5.0356488079053356444","43.95546487023921145","8.9276304141387203828","7.3708377716453661321","1.922063522918626699","4.2572524866586576309","10.387124761910360604"
"10/28/2021 14:27:45.598","95952.894401873913012","340939.00776836049045","56.166924758853141952","2.648057569247164178","2.648057569247164178","2.648057569247164178","0","5.7633197270312575","5.7633197270312575","3.4268731086931958352","1.869242029801143623","3.0374653389701800066"
"10/28/2021 14:27:47.591","0","61637.059844027338841","56.163058047220829394","2.0290329640420434743","0","0.46149749146671137368","0.46149749146671137368","1.245265227754377424","1.245265227754377424","2.0290329640420434743","0.46149749146671137368","0.95135107261812290602"
"10/28/2021 14:27:49.605","32542.309322158034774","26440.626324253404164","56.157210831566992226","0","0","2.2424040796262034725","0.6906962078742306943","3.0182580155021843105","0","3.0182580155021843105","1.4665501437502226345","1.1756036764304256259"
"10/28/2021 14:27:51.590","35610.268353127903538","540863.20629098615609","56.156487776002961709","0.77811128092019066216","0","2.3530618955087567734","0.77811128092019066216","4.7154878173916063844","0.77811128092019066216","5.50296312468588944","0","1.7624579349590274724"
"10/28/2021 14:27:53.600","0","523598.23572495317785","56.155984791963355462","0.51859160787771640955","0","4.4045841231949882655","0.51859160787771640955","0.51859160787771640955","0","3.6273856201315402004","0","1.1014879981400937936"
"10/28/2021 14:27:55.590","0","1053699.5084900821093","56.150043279898831372","3.4374048034122473005","2.6523430538464953798","2.6523430538464953798","0.29715780514922851552","1.0822195547149804362","1.0822195547149804362","4.2224665529779992212","0","1.8672813042807434591"
"10/28/2021 14:27:57.606","35056.593605138696148","548711.89990651875269","56.163309527599089677","0","0.76884792781291011465","1.5440913033768710605","0","3.869821430068753898","0","1.5440913033768710605","1.5440913033768710605","1.1564696155948905876"
"10/28/2021 14:27:59.593","0","430741.53656158701051","56.162837975696390913","0.15175172634633860014","0","3.2965784436267631108","0.15175172634633860014","1.7241650849865508555","0","1.7241650849865508555","0.15175172634633860014","0.74140925169778881809"
