"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/27/2021 01:18:30.729","0","0","42.988256980429461862","9.4987508262109781043","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:32.739","0","18339.262019818183035","42.989158570531095904","8.8596824759416321626","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:34.736","0","0","42.993450128238983154","8.7761310660623088609","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:36.730","0","0","42.994225500848664012","9.0903345646222035725","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:38.736","0","38796.108265389630105","42.989302832397932264","8.2835372021093043315","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:40.726","0","236674.87873829135788","43.223463358176744009","11.871906150318290329","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:42.738","0","71236.856884379332769","43.251809301611920944","9.6133206637017298846","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:44.722","0","146566.6755250293354","43.229810531071812818","9.0443145801305409037","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:46.728","0","55134.093221844734217","43.229413834221055879","8.8632550254016280178","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:48.742","0","26449.511251796335273","43.224382969370203966","9.1303795397258866728","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:50.740","0","0","43.227195936075226257","8.7027612851047422282","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:52.735","0","49264.789271798319533","43.229576117179725259","8.6413770633871891391","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:54.731","0","0","43.23363328427859642","8.9929799977634061747","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:56.734","0","118615.70803344216256","43.232948063694159657","8.1978210446866039973","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:18:58.732","0","245969.59068822543486","43.252819064830624995","12.819385360747537206","100","100","100","100","100","100","100","100","100","100","100","100"
