"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/26/2021 23:52:48.690","0","40824.37326713193761","40.713765877465199594","8.8325380592601643315","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:52:50.679","0","0","40.707779335954171529","9.8716178457714072181","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:52:52.695","0","0","40.720942509528470055","8.8325789969120211964","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:52:54.688","0","41099.182381133708986","40.714144529941059147","8.9395325479839744531","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:52:56.679","0","0","40.714144529941059147","9.223685872009678377","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:52:58.680","0","0","40.709095643998374214","9.1618203953034225151","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:00.685","0","8171.7536631242437579","40.714451074766564886","9.5344937124600797063","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:02.685","0","16383.828788989154418","40.715100229884285454","9.0501030067944085999","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:04.700","0","36581.637316048610955","40.706372852601660384","9.3601086474274453053","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:06.692","0","0","40.706444983535085669","8.7747481304730428064","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:08.689","0","0","40.708753033706166491","9.1905341916301726002","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:10.686","0","2051.1333112462598365","40.745609984906764112","9.1709356143964697594","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:12.674","0","0","40.709185796023625414","9.1886299286131016828","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:14.675","0","36857.177736400997674","40.707653095179161085","9.5883340450248262243","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:16.690","0","0","40.703740213230190648","9.5329842526601602515","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:18.685","0","0","40.739587354645969697","9.7339384216458384458","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:20.695","0","0","40.704118865706050201","9.1893102983073511325","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:22.685","0","0","40.703920517280678837","9.3022684289498229759","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:24.697","0","26464.338002397733362","40.748242600995169482","9.8508216224775679848","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:26.685","0","0","40.705020455807684243","10.596910530950143681","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:28.693","0","71392.281964455047273","40.74021846538880709","9.6722537867092395203","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:30.690","0","36920.784166047385952","40.70166655366813302","10.083206838987424092","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:32.679","0","0","40.70166655366813302","10.054499840300778146","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:34.682","0","0","40.701215770258855287","10.355226023218222053","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:36.693","0","2036.810881264318823","40.699466676614122207","9.2224327771342036186","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:38.681","379138.10753910662606","82421.327725892741","40.727019226347799474","10.458276385058596247","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:40.695","0","32530.141233805472439","40.689531187687428826","9.7759005815077237855","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:42.681","0","76329.118960547610186","40.726766768080821635","9.8272056860752243779","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:44.694","0","71214.414401525704307","40.729381386360472561","9.2501943461115843093","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:46.691","0","73838.798809553685714","40.728894514201421373","9.4363799905490264308","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:53:48.682","0","0","40.728714210150926078","9.8992837069814534345","100","100","100","100","100","100","100","100","100","100","100","100"
