"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/27/2021 00:14:02.197","0","27388169.506933458149","41.003211806761846958","9.013968929964788046","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:04.203","0","53085.857212024457112","41.026003971003461857","8.4160140310102669048","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:06.195","0","0","41.148421620286171674","8.951468799650141861","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:08.198","0","61366.620863102951262","41.270911423785356931","9.2902148731770388679","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:10.201","0","0","41.38395258723384984","9.0478994605828422237","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:12.212","0","0","41.521336613577169317","8.345680671827771846","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:14.211","0","27613981.731752771884","41.313700806655383246","8.1051951757167621793","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:16.198","0","0","41.005736249733189425","8.97319234715889813","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:18.207","0","0","41.111420453784852214","8.3554723702181536993","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:20.199","0","12341.911319932161859","41.231998880680649222","9.2424894337544962752","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:14:22.206","0","0","41.351423282490905819","8.5958681107569887558","100","100","100","100","100","100","100","100","100","100","100","100"
